Public Name, Description of Data Asset,Access Level ,Exemption,Rationale Not to Release (Contains PI/PHI),Update Frequency
Aboriginal Breast Cancer Study - First Nations,This data is used to support the Aboriginal Breast Cancer Study.  The findings are used to improve the prognosis of FN women with breast cancer,Restricted,Privacy,Data include demographic and clinical data.  Data is personal health information.,Ad hoc
Acute Leukemia (SSOIS),"The Acute Leukemia Provincial Plan, released in August 2017, provides an overview of how adult services are defined and how they should be organized and delivered in Ontario. It was created collaboratively by regional, clinical and patient representatives and facilitated by OH (CCO). This Plan sets the stage to achieve a vision of care in Ontario where there will be strong networks of service providers that deliver coordinated care across the province and is designed to:
- Provide timely access for adults to high-quality, coordinated acute leukemia services as close to home as possible
- Focus on better outcomes and improved patient experience
- Encourage hospitals and providers to work together to form a networks of services which are person-centred, evidence based and support evolving clinical practices",Restricted,Privacy,Data include demographic and clinical data.  Data is personal health information.,Quarterly
Anti-Thymocyte Globulin (ATG) for Aplastic Anemia,"Contains HIN, postal code and dosage amounts for patients with aplastic anemia, to conduct reimbursements of ATG drugs ",Restricted,Privacy,Contains patient treatment details,Quarterly
Brachytherapy Radiation Treatment Program,"The current brachytherapy reimbursement program is focused on prostate patients.  The program reimburses Regional Cancer Centres (RCCs) (RCCs) for the costs of seeds and needles used in brachytherapy treatments.  Reimbursement is contingent upon compliance with patient eligibility criteria developed based on an evidence-based summary for this treatment.  In addition to being used for reimbursement, the prostate brachytherapy data are used to support program budgeting and cancer system planning",Restricted,Privacy,patient demographics and clinical data,Ad hoc
Breast and Colorectal Cancer Well Follow-Up Initiatives,"Contains data elements for breast and colorectal cancer survivors participating in the Well Follow-Up Initiatives between February 2012 and May 2014. It contains information regarding a patient’s visit with their oncologist.  All 14 regional cancer programs participated.
",Restricted,Privacy,Data include demographic and clinical data.  Data is personal health information.,Ad hoc
Canadian Community Health Survey (CCHS) linking files,"Identifiable Canadian Community Health Survey (CCHS) data, specific to the Ontario sub-population",Restricted,Privacy,Data include demographic and clinical data.  Data is personal health information.,One-time
Cancer Activity Level Reporting (ALR) data,"Activity Level Reporting (ALR) data represents the basic set of data elements required to produce the quality, cost and performance indicators for the cancer system.  The data elements constitute patient level activity within the cancer system focused on radiation and systemic therapy services and outpatient oncology clinic visits.  This data is also a key component of the Ontario Cancer Registry (OCR), which registers every malignant neoplasm diagnosed in Ontario. ",Restricted,Privacy,"Data include demographic and self-reported health information.
Data is personal health information.
Data is subject to a data sharing agreement.",Monthly
Carfilzomib Patient Roster Data,Roster of patients previously enrolled on the Victory Program were transferred to CCO NDFP to continue treatment and have their claims adjudicated by CCO.,Restricted,Privacy,Data include demographic and clinical data.  Data is personal health information.,Ad hoc
Case-by-Case Review Program (CBCRP),"Patient and treatment information about systemic therapy drug utilization at Ontario hospitals where a request for funding was received through the Case-by-Case Review Program (under Provincial Drug Reimbursement Programs).

  
",Restricted,Privacy,Data include demographic and clinical data.  Data is personal health information.,Ad hoc
Case and Contact Management (CCM) system - C19,"The Ontario Ministry of Health (MOH) has implemented a centralized Case and Contact Management (CCM) system for public health units (PHUs) for reporting and managing cases and contacts of COVID-19. The new public health Provincial Case and Contact Management (CCM) Solution was launched in phases, starting July 2020.This provincially funded solution replaces PHUs’ use of the integrated Public Health Information System (iPHIS) for COVID-19 tracking andreporting. 

",Restricted,Privacy,"Data is subject to datasharing agreements.

Reporting requirements for use of data to the Office of the Chief Medical Officer of Health. ",Monthly
Chimeric Antigen Receptor (CAR) T-cell Therapy,"Data related to patient enrollment in the CAR T program or post-treatment data

Data collection not started yet",Restricted,Privacy,Contains patient treatment details,Ad hoc
"Claims History Database (CHDB)
[Screening Hub Stage]","A Claims History Database held by MOHLTC relating to medical claims submitted by providers for insured services rendered to insured persons. Informs CCO on OHIP-related events through the capture of these primary care provider OHIP  claims. Through the fee schedule code and other related data elements, the Claim provides additional context information associated with the Screening Program (CCC, OBSP, OCSP).
",Restricted,Privacy,Yes ,Monthly
